A	ένα	éna
Ability	ικανότητα	ikanótita
Able	ικανός	ikanós
About	σχετικά με	schetiká me
Above	πάνω από	páno apó
Accept	αποδέχομαι	apodéchomai
According	σύμφωνα με	sýmfona me
Account	λογαριασμός	logariasmós
Across	απέναντι	apénanti
Act	υποκρίνομαι	ypokrínomai
Action	δράση	drási
Activity	δραστηριότητα	drastiriótita
Actually	πράγματι	prágmati
Add	Προσθήκη	Prosthíki
Address	διεύθυνση	diéfthynsi
Administration	διαχείριση	diacheírisi
Admit	ομολογώ	omologó
Adult	ενήλικας	enílikas
Affect	επηρεάζουν	epireázoun
After	μετά	metá
Again	πάλι	páli
Against	κατά	katá
Age	ηλικία	ilikía
Agency	πρακτορείο	praktoreío
Agent	μέσο	méso
Ago	πριν	prin
Agree	συμφωνώ	symfonó
Agreement	συμφωνία	symfonía
Ahead	εμπρός	emprós
Air	αέρας	aéras
All	όλα	óla
Allow	επιτρέπω	epitrépo
Almost	σχεδόν	schedón
Alone	μόνος	mónos
Along	κατά μήκος	katá míkos
Already	ήδη	ídi
Also	επίσης	epísis
Although	παρόλο	parólo
Always	πάντα	pánta
American	Αμερικανός	Amerikanós
Among	αναμεταξύ	anametaxý
Amount	ποσό	posó
Analysis	ανάλυση	análysi
And	και	kai
Animal	ζώο	zóo
Another	αλλο	allo
Answer	απάντηση	apántisi
Any	όποιος	ópoios
Anyone	ο καθενας	o kathenas
Anything	Οτιδήποτε	Otidípote
Appear	εμφανίζομαι	emfanízomai
Apply	ισχύουν	ischýoun
Approach	πλησιάζω	plisiázo
Area	περιοχή	periochí
Argue	λογομαχώ	logomachó
Arm	μπράτσο	brátso
Around	περίπου	perípou
Arrive	φθάνω	ftháno
Art	τέχνη	téchni
Article	άρθρο	árthro
Artist	καλλιτέχνης	kallitéchnis
As	όπως και	ópos kai
Ask	παρακαλώ	parakaló
Assume	υποθέτω	ypothéto
At	στο	sto
Attack	επίθεση	epíthesi
Attention	προσοχή	prosochí
Attorney	δικηγόρος	dikigóros
Audience	κοινό	koinó
Author	συγγραφέας	syngraféas
Authority	εξουσία	exousía
Available	διαθέσιμος	diathésimos
Avoid	αποφύγει	apofýgei. 
Baby	μωρό	moró
Back	πίσω	píso
Bad	κακό	kakó
Bag	τσάντα	tsánta
Ball	μπάλα	bála
Bank	τράπεζα	trápeza
Bar	μπαρ	bar
Base	βάση	vási
Be	είναι	eínai
Beat	Ρυθμός	Rythmós
Beautiful	πανεμορφη	panemorfi
Because	επειδή	epeidí
Become	γίνομαι	gínomai
Bed	κρεβάτι	kreváti
Before	πριν	prin
Begin	να αρχίσει	na archísei
Behavior	η ΣΥΜΠΕΡΙΦΟΡΑ	i SYMPERIFORA
Behind	πίσω	píso
Believe	πιστεύω	pistévo
Benefit	όφελος	ófelos
Best	καλύτερος	kalýteros
Better	καλύτερα	kalýtera
Between	μεταξύ	metaxý
Beyond	πέρα	péra
Big	μεγάλο	megálo
Bill	νομοσχέδιο	nomoschédio
Billion	δισεκατομμύριο	disekatommýrio
Bit	κομμάτι	kommáti
Black	μαύρος	mávros
Blood	αίμα	aíma
Blue	μπλε	ble
Board	σανίδα	sanída
Body	σώμα	sóma
Book	Βιβλίο	Vivlío
Born	γεννημένος	genniménos
Both	και τα δυο	kai ta dyo
Box	κουτί	koutí
Boy	αγόρι	agóri
Break	Διακοπή	Diakopí
Bring	να φερεις	na fereis
Brother	αδελφός	adelfós
Budget	προϋπολογισμός	proüpologismós
Build	χτίζω	chtízo
Building	Κτίριο	Ktírio
Business	επιχείρηση	epicheírisi
But	αλλά	allá
Buy	αγορά	agorá
By	με	me. 
Call	κλήση	klísi
Camera	ΦΩΤΟΓΡΑΦΙΚΗ ΜΗΧΑΝΗ	FOTOGRAFIKI MICHANI
Campaign	καμπάνια	kampánia
Can	μπορώ	boró
Cancer	Καρκίνος	Karkínos
Candidate	υποψήφιος	ypopsífios
Capital	κεφάλαιο	kefálaio
Car	αυτοκίνητο	aftokínito
Card	κάρτα	kárta
Care	Φροντίδα	Frontída
Career	καριέρα	kariéra
Carry	μεταφέρω	metaféro
Case	υπόθεση	ypóthesi
Catch	σύλληψη	sýllipsi
Cause	αιτία	aitía
Cell	κύτταρο	kýttaro
Center	κέντρο	kéntro
Central	κεντρικός	kentrikós
Century	αιώνας	aiónas
Certain	βέβαιος	vévaios
Certainly	σίγουρα	sígoura
Chair	καρέκλα	karékla
Challenge	πρόκληση	próklisi
Chance	ευκαιρία	efkairía
Change	αλλαγή	allagí
Character	χαρακτήρας	charaktíras
Charge	χρέωση	chréosi
Check	έλεγχος	élenchos
Child	παιδί	paidí
Choice	επιλογή	epilogí
Choose	επιλέγω	epilégo
Church	Εκκλησία	Ekklisía
Citizen	πολίτης	polítis
City	πόλη	póli
Civil	εμφύλιος	emfýlios
Claim	απαίτηση	apaítisi
Class	τάξη	táxi
Clear	Σαφή	Safí
Clearly	σαφώς	safós
Close	Κλείσε	Kleíse
Coach	προπονητής	proponitís
Cold	κρύο	krýo
Collection	συλλογή	syllogí
College	Κολλέγιο	Kollégio
Color	χρώμα	chróma
Come	Έλα	Éla
Commercial	εμπορικός	emporikós
Common	κοινός	koinós
Community	κοινότητα	koinótita
Company	Εταιρία	Etairía
Compare	συγκρίνω	synkríno
Computer	υπολογιστή	ypologistí
Concern	ανησυχία	anisychía
Condition	κατάσταση	katástasi
Conference	διάσκεψη	diáskepsi
Congress	Συνέδριο	Synédrio
Consider	σκεφτείτε	skefteíte
Consumer	καταναλωτής	katanalotís
Contain	περιέχω	periécho
Continue	να συνεχίσει	na synechísei
Control	έλεγχος	élenchos
Cost	κόστος	kóstos
Could	θα μπορούσε	tha boroúse
Country	Χώρα	Chóra
Couple	ζευγάρι	zevgári
Course	σειρά μαθημάτων	seirá mathimáton
Court	δικαστήριο	dikastírio
Cover	κάλυμμα	kálymma
Create	δημιουργώ	dimiourgó
Crime	έγκλημα	énklima
Cultural	πολιτιστικός	politistikós
Culture	Πολιτισμός	Politismós
Cup	φλιτζάνι	flitzáni
Current	ρεύμα	révma
Customer	πελάτης	pelátis
Cut	Τομή	Tomí. 
Dark	σκοτάδι	skotádi
Data	δεδομένα	dedoména
Daughter	κόρη	kóri
Day	ημέρα	iméra
Dead	νεκρός	nekrós
Deal	συμφωνία	symfonía
Death	θάνατος	thánatos
Debate	δημόσια συζήτηση	dimósia syzítisi
Decade	δεκαετία	dekaetía
Decide	αποφασίζω	apofasízo
Decision	απόφαση	apófasi
Deep	βαθύς	vathýs
Defense	άμυνα	ámyna
Degree	βαθμός	vathmós
Democrat	Δημοκράτης	Dimokrátis
Democratic	δημοκρατικός	dimokratikós
Describe	περιγράφω	perigráfo
Design	σχέδιο	schédio
Despite	παρά	pará
Detail	λεπτομέρεια	leptoméreia
Determine	καθορίσει	kathorísei
Develop	αναπτύσσω	anaptýsso
Development	ανάπτυξη	anáptyxi
Die	καλούπι	kaloúpi
Difference	διαφορά	diaforá
Different	διαφορετικός	diaforetikós
Difficult	δύσκολος	dýskolos
Dinner	δείπνο	deípno
Direction	κατεύθυνση	katéfthynsi
Director	διευθυντής	diefthyntís
Discover	ανακαλύπτω	anakalýpto
Discuss	συζητώ	syzitó
Discussion	συζήτηση	syzítisi
Disease	νόσος	nósos
Do	κάνω	káno
Doctor	γιατρός	giatrós
Dog	σκύλος	skýlos
Door	πόρτα	pórta
Down	κάτω	káto
Draw	σχεδιάζω	schediázo
Dream	όνειρο	óneiro
Drive	οδηγώ	odigó
Drop	πτώση	ptósi
Drug	φάρμακο	fármako
During	στη διάρκεια	sti diárkeia. 
Each	καθε	kathe
Early	νωρίς	norís
East	Ανατολή	Anatolí
Easy	Ανετα	Aneta
Eat	τρώω	tróo
Economic	οικονομικός	oikonomikós
Economy	οικονομία	oikonomía
Edge	άκρη	ákri
Education	εκπαίδευση	ekpaídefsi
Effect	αποτέλεσμα	apotélesma
Effort	προσπάθεια	prospátheia
Eight	οκτώ	októ
Either	είτε	eíte
Election	εκλογή	eklogí
Else	αλλού	alloú
Employee	υπάλληλος	ypállilos
End	τέλος	télos
Energy	ενέργεια	enérgeia
Enjoy	απολαμβάνω	apolamváno
Enough	αρκετά	arketá
Enter	εισαγω	eisago
Entire	ολόκληρος	olókliros
Environment	περιβάλλον	perivállon
Environmental	περιβαλλοντικά	perivallontiká
Especially	ειδικά	eidiká
Establish	εγκαθιδρύω	enkathidrýo
Even	ακόμη και	akómi kai
Evening	απόγευμα	apógevma
Event	Εκδήλωση	Ekdílosi
Ever	πάντα	pánta
Every	κάθε	káthe
Everybody	όλοι	óloi
Everyone	Ολοι	Oloi
Everything	τα παντα	ta panta
Evidence	απόδειξη	apódeixi
Exactly	ακριβώς	akrivós
Example	παράδειγμα	parádeigma
Executive	εκτελεστικός	ektelestikós
Exist	υπάρχει	ypárchei
Expect	αναμένω	anaméno
Experience	εμπειρία	empeiría
Expert	ειδικός	eidikós
Explain	εξηγώ	exigó
Eye	μάτι	máti. 
Face	πρόσωπο	prósopo
Fact	γεγονός	gegonós
Factor	παράγοντας	parágontas
Fail	αποτυγχάνω	apotyncháno
Fall	πτώση	ptósi
Family	οικογένεια	oikogéneia
Far	μακριά	makriá
Fast	γρήγορα	grígora
Father	πατέρας	patéras
Fear	φόβος	fóvos
Federal	ομοσπονδιακός	omospondiakós
Feel	αφή	afí
Feeling	συναισθημα	synaisthima
Few	λίγοι	lígoi
Field	πεδίο	pedío
Fight	πάλη	páli
Figure	εικόνα	eikóna
Fill	γέμισμα	gémisma
Film	ταινία	tainía
Final	τελικός	telikós
Finally	τελικά	teliká
Financial	χρηματοοικονομική	chrimatooikonomikí
Find	εύρημα	évrima
Fine	πρόστιμο	próstimo
